n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios,counts
512,1024,0.9,0.6,0.0005729198455810547,True,2,-10,133,57,2,"[0.7, 0.3]","[133, 57]"
512,1024,0.9,0.6,0.0005781650543212891,True,2,-10,152,38,2,"[0.8, 0.2]","[152, 38]"
512,1024,0.9,0.6,0.0007119178771972656,True,4,-10,47,47,4,"[0.25, 0.25, 0.25, 0.25]","[47, 47, 47, 47]"
512,1024,0.9,0.6,0.0009520053863525391,True,3,-10,31,31,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[31, 31, 31, 31, 31, 31, 31, 31]"
512,1024,0.9,0.6,0.0015325546264648438,True,2,-10,19,19,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
512,2048,0.9,0.2,0.0012812614440917969,True,157,-6,347,355,2,"[0.5, 0.5]","[347, 355]"
512,2048,0.9,0.2,0.001348733901977539,True,197,-10,405,278,2,"[0.6, 0.4]","[405, 278]"
512,2048,0.9,0.2,0.001371622085571289,True,161,-10,489,212,2,"[0.7, 0.3]","[489, 212]"
512,2048,0.9,0.2,0.0013318061828613281,True,144,-10,553,134,2,"[0.8, 0.2]","[553, 134]"
512,2048,0.9,0.2,0.0015997886657714844,True,169,4,169,177,4,"[0.25, 0.25, 0.25, 0.25]","[169, 177, 177, 180]"
512,2048,0.9,0.2,0.001992464065551758,True,163,-10,90,90,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[90, 90, 82, 90, 82, 82, 89, 87]"
512,2048,0.9,0.2,0.0027506351470947266,True,149,-5,49,40,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[49, 40, 40, 46, 48, 42, 40, 39, 46, 45, 40, 49, 40, 43, 41, 41]"
512,2048,0.9,0.3,0.0010178089141845703,True,60,-10,229,229,2,"[0.5, 0.5]","[229, 229]"
512,2048,0.9,0.3,0.0010387897491455078,True,69,-10,275,183,2,"[0.6, 0.4]","[275, 183]"
512,2048,0.9,0.3,0.0010256767272949219,True,80,-10,321,137,2,"[0.7, 0.3]","[321, 137]"
512,2048,0.9,0.3,0.0010285377502441406,True,60,-10,367,91,2,"[0.8, 0.2]","[367, 91]"
512,2048,0.9,0.3,0.00121307373046875,True,60,-10,114,114,4,"[0.25, 0.25, 0.25, 0.25]","[114, 114, 114, 114]"
512,2048,0.9,0.3,0.0016090869903564453,True,64,-9,75,71,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[75, 71, 70, 74, 76, 74, 71, 67]"
512,2048,0.9,0.3,0.0022394657135009766,True,82,-10,36,36,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[36, 36, 41, 34, 33, 34, 36, 38, 39, 38, 35, 37, 36, 42, 36, 36]"
512,2048,0.9,0.4,0.0008535385131835938,True,35,-10,159,159,2,"[0.5, 0.5]","[159, 159]"
512,2048,0.9,0.4,0.0008096694946289062,True,27,-10,191,127,2,"[0.6, 0.4]","[191, 127]"
512,2048,0.9,0.4,0.0008301734924316406,True,23,-10,223,95,2,"[0.7, 0.3]","[223, 95]"
512,2048,0.9,0.4,0.0007605552673339844,True,29,-10,255,63,2,"[0.8, 0.2]","[255, 63]"
512,2048,0.9,0.4,0.0010066032409667969,True,23,-10,79,79,4,"[0.25, 0.25, 0.25, 0.25]","[79, 79, 79, 79]"
512,2048,0.9,0.4,0.0012493133544921875,True,36,-10,53,53,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[53, 53, 53, 53, 53, 53, 53, 53]"
512,2048,0.9,0.4,0.001964569091796875,True,25,-10,33,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[33, 33, 33, 33, 33, 32, 33, 33, 33, 33, 33, 32, 33, 33, 33, 33]"
512,2048,0.9,0.5,0.0006954669952392578,True,12,-10,120,120,2,"[0.5, 0.5]","[120, 120]"
512,2048,0.9,0.5,0.0006988048553466797,True,9,-10,144,95,2,"[0.6, 0.4]","[144, 95]"
512,2048,0.9,0.5,0.0006818771362304688,True,9,-10,168,71,2,"[0.7, 0.3]","[168, 71]"
512,2048,0.9,0.5,0.0006740093231201172,True,14,-10,192,47,2,"[0.8, 0.2]","[192, 47]"
512,2048,0.9,0.5,0.0008382797241210938,True,11,-10,60,60,4,"[0.25, 0.25, 0.25, 0.25]","[60, 60, 60, 60]"
512,2048,0.9,0.5,0.0011534690856933594,True,16,-10,40,40,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[40, 40, 40, 40, 40, 40, 40, 40]"
512,2048,0.9,0.5,0.0015866756439208984,True,7,-10,25,25,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]"
512,2048,0.9,0.6,0.0006022453308105469,True,3,-10,95,95,2,"[0.5, 0.5]","[95, 95]"
512,2048,0.9,0.6,0.0006017684936523438,True,2,-10,114,76,2,"[0.6, 0.4]","[114, 76]"
512,2048,0.9,0.6,0.0005538463592529297,True,3,-10,133,57,2,"[0.7, 0.3]","[133, 57]"
512,2048,0.9,0.6,0.0005862712860107422,True,3,-10,152,38,2,"[0.8, 0.2]","[152, 38]"
512,2048,0.9,0.6,0.00074005126953125,True,1,-10,47,47,4,"[0.25, 0.25, 0.25, 0.25]","[47, 47, 47, 47]"
512,2048,0.9,0.6,0.0010209083557128906,True,8,-10,31,31,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[31, 31, 31, 31, 31, 31, 31, 31]"
512,2048,0.9,0.6,0.00145721435546875,True,2,-10,19,19,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
512,4096,0.9,0.2,0.001379251480102539,True,362,-10,348,343,2,"[0.5, 0.5]","[348, 343]"
512,4096,0.9,0.2,0.00141143798828125,True,315,-10,419,281,2,"[0.6, 0.4]","[419, 281]"
512,4096,0.9,0.2,0.001420736312866211,True,310,-10,491,215,2,"[0.7, 0.3]","[491, 215]"
512,4096,0.9,0.2,0.0013911724090576172,True,353,-7,559,135,2,"[0.8, 0.2]","[559, 135]"
512,4096,0.9,0.2,0.0016217231750488281,True,352,-9,172,178,4,"[0.25, 0.25, 0.25, 0.25]","[172, 178, 168, 175]"
512,4096,0.9,0.2,0.0019843578338623047,True,320,-10,86,90,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[86, 90, 88, 85, 90, 90, 85, 86]"
512,4096,0.9,0.2,0.0027692317962646484,True,318,-6,49,48,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[49, 48, 47, 40, 43, 40, 50, 40, 40, 40, 43, 39, 40, 45, 47, 41]"
512,4096,0.9,0.3,0.0010809898376464844,True,129,-10,229,229,2,"[0.5, 0.5]","[229, 229]"
