n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios
512,4096,0.9,0.4,0.0008912086486816406,True,57,-10,298,127,2,"[0.7, 0.3]"
512,4096,0.9,0.4,0.0008502006530761719,True,63,-10,340,85,2,"[0.8, 0.2]"
512,4096,0.9,0.4,0.0011751651763916016,True,53,-10,136,138,4,"[0.25, 0.25, 0.25, 0.25]"
512,4096,0.9,0.4,0.0015006065368652344,True,79,-10,73,66,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,4096,0.9,0.4,0.0020020008087158203,True,60,-10,33,32,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,4096,0.9,0.5,0.0007669925689697266,True,19,-10,160,160,2,"[0.5, 0.5]"
512,4096,0.9,0.5,0.0007519721984863281,True,23,-10,192,127,2,"[0.6, 0.4]"
512,4096,0.9,0.5,0.0007512569427490234,True,25,-10,224,95,2,"[0.7, 0.3]"
512,4096,0.9,0.5,0.0007288455963134766,True,16,-10,256,63,2,"[0.8, 0.2]"
512,4096,0.9,0.5,0.0010862350463867188,True,32,-10,131,135,4,"[0.25, 0.25, 0.25, 0.25]"
512,4096,0.9,0.5,0.0013823509216308594,True,22,-10,65,67,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,4096,0.9,0.5,0.0018603801727294922,True,20,-10,33,32,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,4096,0.9,0.6,0.0006470680236816406,True,9,-10,127,127,2,"[0.5, 0.5]"
512,4096,0.9,0.6,0.0006463527679443359,True,6,-10,152,101,2,"[0.6, 0.4]"
512,4096,0.9,0.6,0.0006411075592041016,True,13,-10,177,76,2,"[0.7, 0.3]"
512,4096,0.9,0.6,0.0006210803985595703,True,8,-10,203,50,2,"[0.8, 0.2]"
512,4096,0.9,0.6,0.0010187625885009766,True,6,-10,127,127,4,"[0.25, 0.25, 0.25, 0.25]"
512,4096,0.9,0.6,0.0013053417205810547,True,3,-10,67,65,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,4096,0.9,0.6,0.0017795562744140625,True,11,-10,32,32,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,512,0.9,0.2,0.003255128860473633,True,39,-10,506,506,2,"[0.5, 0.5]"
1024,512,0.9,0.2,0.003203153610229492,True,38,-10,607,404,2,"[0.6, 0.4]"
1024,512,0.9,0.2,0.003046274185180664,True,37,-10,708,303,2,"[0.7, 0.3]"
1024,512,0.9,0.2,0.0030438899993896484,True,46,-10,810,201,2,"[0.8, 0.2]"
1024,512,0.9,0.2,0.0038576126098632812,True,48,-10,288,292,4,"[0.25, 0.25, 0.25, 0.25]"
1024,512,0.9,0.2,0.004428863525390625,True,37,-10,138,140,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,512,0.9,0.2,0.006323337554931641,True,32,-10,74,72,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,512,0.9,0.3,0.0022122859954833984,True,23,-10,306,306,2,"[0.5, 0.5]"
1024,512,0.9,0.3,0.002225637435913086,True,12,-10,367,244,2,"[0.6, 0.4]"
1024,512,0.9,0.3,0.0021390914916992188,True,19,-10,428,183,2,"[0.7, 0.3]"
1024,512,0.9,0.3,0.002123117446899414,True,15,-10,489,122,2,"[0.8, 0.2]"
1024,512,0.9,0.3,0.0033588409423828125,True,18,-10,263,272,4,"[0.25, 0.25, 0.25, 0.25]"
1024,512,0.9,0.3,0.003938436508178711,True,14,-10,133,134,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,512,0.9,0.3,0.004703521728515625,True,12,-10,69,64,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,512,0.9,0.4,0.001760244369506836,True,3,-10,213,213,2,"[0.5, 0.5]"
1024,512,0.9,0.4,0.0017216205596923828,True,8,-10,255,170,2,"[0.6, 0.4]"
1024,512,0.9,0.4,0.0016865730285644531,True,6,-10,298,127,2,"[0.7, 0.3]"
1024,512,0.9,0.4,0.0016281604766845703,True,4,-10,341,84,2,"[0.8, 0.2]"
1024,512,0.9,0.4,0.0027687549591064453,True,7,-10,213,213,4,"[0.25, 0.25, 0.25, 0.25]"
1024,512,0.9,0.4,0.0036346912384033203,True,8,-10,130,136,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,512,0.9,0.4,0.0045680999755859375,True,9,-10,66,64,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,512,0.9,0.5,0.0014040470123291016,True,2,-10,160,160,2,"[0.5, 0.5]"
1024,512,0.9,0.5,0.0013659000396728516,True,3,-10,192,127,2,"[0.6, 0.4]"
1024,512,0.9,0.5,0.0013363361358642578,True,5,-10,223,96,2,"[0.7, 0.3]"
1024,512,0.9,0.5,0.0015418529510498047,True,1,-10,256,63,2,"[0.8, 0.2]"
1024,512,0.9,0.5,0.002258777618408203,True,4,-10,160,160,4,"[0.25, 0.25, 0.25, 0.25]"
1024,512,0.9,0.5,0.0036585330963134766,True,3,-10,131,129,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,512,0.9,0.5,0.0045473575592041016,True,2,-10,67,64,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,512,0.9,0.6,0.0011713504791259766,True,1,-10,127,127,2,"[0.5, 0.5]"
1024,512,0.9,0.6,0.0011816024780273438,True,1,-10,152,101,2,"[0.6, 0.4]"
1024,512,0.9,0.6,0.001153707504272461,True,0,-10,177,76,2,"[0.7, 0.3]"
1024,512,0.9,0.6,0.0011317729949951172,True,0,-10,203,50,2,"[0.8, 0.2]"
1024,512,0.9,0.6,0.002190828323364258,True,1,-10,127,127,4,"[0.25, 0.25, 0.25, 0.25]"
1024,512,0.9,0.6,0.0034332275390625,True,0,-10,127,127,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,512,0.9,0.6,0.004419088363647461,True,0,-10,66,64,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,1024,0.9,0.2,0.0031321048736572266,True,82,-10,506,506,2,"[0.5, 0.5]"
1024,1024,0.9,0.2,0.0031893253326416016,True,78,-10,607,404,2,"[0.6, 0.4]"
1024,1024,0.9,0.2,0.0032052993774414062,True,87,-10,708,303,2,"[0.7, 0.3]"
1024,1024,0.9,0.2,0.003077268600463867,True,78,-10,810,201,2,"[0.8, 0.2]"
1024,1024,0.9,0.2,0.0037229061126708984,True,69,-10,286,280,4,"[0.25, 0.25, 0.25, 0.25]"
1024,1024,0.9,0.2,0.005417823791503906,True,65,-10,145,141,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,1024,0.9,0.2,0.005753755569458008,True,100,-10,73,68,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,1024,0.9,0.3,0.0022537708282470703,True,37,-10,306,306,2,"[0.5, 0.5]"
1024,1024,0.9,0.3,0.0022830963134765625,True,41,-10,367,244,2,"[0.6, 0.4]"
1024,1024,0.9,0.3,0.002050638198852539,True,45,-10,428,183,2,"[0.7, 0.3]"
1024,1024,0.9,0.3,0.0021343231201171875,True,47,-10,489,122,2,"[0.8, 0.2]"
1024,1024,0.9,0.3,0.0033216476440429688,True,44,-10,259,262,4,"[0.25, 0.25, 0.25, 0.25]"
1024,1024,0.9,0.3,0.003975629806518555,True,51,-10,133,134,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,1024,0.9,0.3,0.00475001335144043,True,35,-10,66,75,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,1024,0.9,0.4,0.0017099380493164062,True,9,-10,213,213,2,"[0.5, 0.5]"
1024,1024,0.9,0.4,0.001680135726928711,True,17,-10,255,170,2,"[0.6, 0.4]"
1024,1024,0.9,0.4,0.0016906261444091797,True,18,-10,298,127,2,"[0.7, 0.3]"
1024,1024,0.9,0.4,0.001600503921508789,True,11,-10,341,84,2,"[0.8, 0.2]"
1024,1024,0.9,0.4,0.0028235912322998047,True,14,-10,213,213,4,"[0.25, 0.25, 0.25, 0.25]"
1024,1024,0.9,0.4,0.003784656524658203,True,17,-10,130,133,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,1024,0.9,0.4,0.004654645919799805,True,11,-10,65,65,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,1024,0.9,0.5,0.001336812973022461,True,5,-10,160,160,2,"[0.5, 0.5]"
1024,1024,0.9,0.5,0.0013892650604248047,True,6,-10,192,127,2,"[0.6, 0.4]"
1024,1024,0.9,0.5,0.0013620853424072266,True,6,-10,223,96,2,"[0.7, 0.3]"
1024,1024,0.9,0.5,0.001331329345703125,True,8,-10,256,63,2,"[0.8, 0.2]"
1024,1024,0.9,0.5,0.00229644775390625,True,9,-10,160,160,4,"[0.25, 0.25, 0.25, 0.25]"
1024,1024,0.9,0.5,0.004151105880737305,True,9,-10,129,130,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
1024,1024,0.9,0.5,0.004338264465332031,True,3,-10,65,65,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
1024,1024,0.9,0.6,0.0011839866638183594,True,1,-10,127,127,2,"[0.5, 0.5]"
1024,1024,0.9,0.6,0.001211404800415039,True,2,-10,152,101,2,"[0.6, 0.4]"
1024,1024,0.9,0.6,0.001176595687866211,True,0,-10,177,76,2,"[0.7, 0.3]"
1024,1024,0.9,0.6,0.0010676383972167969,True,1,-10,203,50,2,"[0.8, 0.2]"
