n,m,dim,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
1024,2048,4,0.9,0.9,4.4345855712890625e-05,True,713,0,78,107
1024,2048,4,0.9,0.92,6.031990051269531e-05,True,685,0,102,78
1024,2048,4,0.9,0.94,4.553794860839844e-05,True,670,0,89,86
1024,2048,4,0.9,0.96,5.9604644775390625e-05,True,649,0,80,90
1024,2048,4,0.9,0.98,4.1961669921875e-05,True,608,0,77,88
1024,2048,8,0.9,0.9,5.269050598144531e-05,True,862,0,85,82
1024,2048,8,0.9,0.92,4.315376281738281e-05,True,891,0,84,78
1024,2048,8,0.9,0.94,5.2928924560546875e-05,True,892,0,68,89
1024,2048,8,0.9,0.96,4.100799560546875e-05,True,843,0,82,71
1024,2048,8,0.9,0.98,5.888938903808594e-05,True,831,0,74,75
1024,2048,16,0.9,0.9,5.888938903808594e-05,True,954,0,88,69
1024,2048,16,0.9,0.92,5.984306335449219e-05,True,939,0,75,78
1024,2048,16,0.9,0.94,3.910064697265625e-05,True,902,0,73,75
1024,2048,16,0.9,0.96,5.698204040527344e-05,True,940,0,73,71
1024,2048,16,0.9,0.98,3.886222839355469e-05,True,901,0,70,70
1024,2048,32,0.9,0.9,4.220008850097656e-05,True,1017,0,74,79
1024,2048,32,0.9,0.92,4.291534423828125e-05,True,1003,0,79,69
1024,2048,32,0.9,0.94,4.2438507080078125e-05,True,978,0,69,75
1024,2048,32,0.9,0.96,3.981590270996094e-05,True,992,0,70,70
1024,2048,32,0.9,0.98,5.459785461425781e-05,True,952,0,63,73
1024,4096,4,0.9,0.9,4.673004150390625e-05,True,1458,0,90,95
1024,4096,4,0.9,0.92,6.079673767089844e-05,True,1414,0,84,96
1024,4096,4,0.9,0.94,4.2438507080078125e-05,True,1347,0,84,91
1024,4096,4,0.9,0.96,6.175041198730469e-05,True,1309,0,79,91
1024,4096,4,0.9,0.98,4.38690185546875e-05,True,1139,0,76,89
1024,4096,8,0.9,0.9,4.363059997558594e-05,True,1769,0,77,90
1024,4096,8,0.9,0.92,4.172325134277344e-05,True,1732,0,73,89
1024,4096,8,0.9,0.94,4.410743713378906e-05,True,1672,0,85,72
1024,4096,8,0.9,0.96,4.220008850097656e-05,True,1615,0,78,75
1024,4096,8,0.9,0.98,5.91278076171875e-05,True,1707,0,77,72
1024,4096,16,0.9,0.9,4.458427429199219e-05,True,1934,0,78,79
1024,4096,16,0.9,0.92,5.841255187988281e-05,True,1909,0,75,78
1024,4096,16,0.9,0.94,3.9577484130859375e-05,True,1894,0,67,81
1024,4096,16,0.9,0.96,4.220008850097656e-05,True,1806,0,75,69
1024,4096,16,0.9,0.98,4.1961669921875e-05,True,1824,0,66,74
1024,4096,32,0.9,0.9,4.267692565917969e-05,True,1974,0,71,82
1024,4096,32,0.9,0.92,4.100799560546875e-05,True,1920,0,75,73
1024,4096,32,0.9,0.94,4.1484832763671875e-05,True,1978,0,85,59
1024,4096,32,0.9,0.96,4.482269287109375e-05,True,1979,0,66,74
1024,4096,32,0.9,0.98,3.933906555175781e-05,True,1957,0,72,64
2048,512,4,0.9,0.9,4.076957702636719e-05,True,187,0,91,94
2048,512,4,0.9,0.92,4.458427429199219e-05,True,166,0,91,89
2048,512,4,0.9,0.94,4.1961669921875e-05,True,173,0,94,81
2048,512,4,0.9,0.96,4.1484832763671875e-05,True,170,0,87,83
2048,512,4,0.9,0.98,4.029273986816406e-05,True,157,0,86,79
2048,512,8,0.9,0.9,4.1961669921875e-05,True,235,0,85,82
2048,512,8,0.9,0.92,4.1484832763671875e-05,True,215,0,76,86
2048,512,8,0.9,0.94,4.100799560546875e-05,True,192,0,84,73
2048,512,8,0.9,0.96,5.602836608886719e-05,True,216,0,76,77
2048,512,8,0.9,0.98,4.00543212890625e-05,True,210,0,74,75
2048,512,16,0.9,0.9,4.100799560546875e-05,True,233,0,76,81
2048,512,16,0.9,0.92,4.363059997558594e-05,True,249,0,83,70
2048,512,16,0.9,0.94,3.838539123535156e-05,True,228,0,87,61
2048,512,16,0.9,0.96,5.459785461425781e-05,True,232,0,72,72
2048,512,16,0.9,0.98,4.124641418457031e-05,True,217,0,71,69
2048,512,32,0.9,0.9,4.0531158447265625e-05,True,250,0,60,93
2048,512,32,0.9,0.92,4.076957702636719e-05,True,245,0,69,79
2048,512,32,0.9,0.94,5.316734313964844e-05,True,234,0,67,77
2048,512,32,0.9,0.96,4.029273986816406e-05,True,251,0,71,69
2048,512,32,0.9,0.98,5.507469177246094e-05,True,240,0,74,62
2048,1024,4,0.9,0.9,4.124641418457031e-05,True,390,0,87,98
2048,1024,4,0.9,0.92,5.841255187988281e-05,True,351,0,99,81
2048,1024,4,0.9,0.94,3.7670135498046875e-05,True,357,0,86,89
2048,1024,4,0.9,0.96,3.886222839355469e-05,True,324,0,93,77
2048,1024,4,0.9,0.98,3.981590270996094e-05,True,319,0,79,86
2048,1024,8,0.9,0.9,3.886222839355469e-05,True,434,0,81,86
2048,1024,8,0.9,0.92,5.650520324707031e-05,True,421,0,74,88
2048,1024,8,0.9,0.94,4.2438507080078125e-05,True,387,0,87,70
2048,1024,8,0.9,0.96,3.981590270996094e-05,True,429,0,78,75
2048,1024,8,0.9,0.98,3.886222839355469e-05,True,387,0,74,75
2048,1024,16,0.9,0.9,4.00543212890625e-05,True,477,0,81,76
2048,1024,16,0.9,0.92,3.7670135498046875e-05,True,477,0,85,68
2048,1024,16,0.9,0.94,3.814697265625e-05,True,475,0,86,62
2048,1024,16,0.9,0.96,4.172325134277344e-05,True,445,0,69,75
2048,1024,16,0.9,0.98,4.029273986816406e-05,True,462,0,64,76
2048,1024,32,0.9,0.9,5.698204040527344e-05,True,492,0,84,69
2048,1024,32,0.9,0.92,5.745887756347656e-05,True,488,0,75,73
2048,1024,32,0.9,0.94,4.029273986816406e-05,True,470,0,65,79
2048,1024,32,0.9,0.96,5.3882598876953125e-05,True,492,0,68,72
2048,1024,32,0.9,0.98,5.5789947509765625e-05,True,495,0,71,65
2048,2048,4,0.9,0.9,4.0531158447265625e-05,True,713,0,91,94
2048,2048,4,0.9,0.92,5.9604644775390625e-05,True,683,0,89,91
2048,2048,4,0.9,0.94,4.267692565917969e-05,True,672,0,80,95
2048,2048,4,0.9,0.96,4.1484832763671875e-05,True,653,0,80,90
2048,2048,4,0.9,0.98,5.602836608886719e-05,True,605,0,89,76
2048,2048,8,0.9,0.9,4.315376281738281e-05,True,882,0,86,81
2048,2048,8,0.9,0.92,5.936622619628906e-05,True,874,0,87,75
2048,2048,8,0.9,0.94,3.814697265625e-05,True,855,0,68,89
2048,2048,8,0.9,0.96,4.076957702636719e-05,True,838,0,83,70
2048,2048,8,0.9,0.98,4.029273986816406e-05,True,848,0,68,81
2048,2048,16,0.9,0.9,4.267692565917969e-05,True,963,0,70,87
2048,2048,16,0.9,0.92,5.745887756347656e-05,True,978,0,84,69
2048,2048,16,0.9,0.94,5.650520324707031e-05,True,863,0,75,73
2048,2048,16,0.9,0.96,3.981590270996094e-05,True,935,0,72,72
2048,2048,16,0.9,0.98,5.6743621826171875e-05,True,940,0,71,69
2048,2048,32,0.9,0.9,4.220008850097656e-05,True,1011,0,87,66
2048,2048,32,0.9,0.92,4.410743713378906e-05,True,960,0,75,73
2048,2048,32,0.9,0.94,4.076957702636719e-05,True,939,0,75,69
2048,2048,32,0.9,0.96,4.076957702636719e-05,True,980,0,62,78
2048,2048,32,0.9,0.98,3.910064697265625e-05,True,976,0,67,69
2048,4096,4,0.9,0.9,4.57763671875e-05,True,1399,0,106,79
2048,4096,4,0.9,0.92,4.220008850097656e-05,True,1369,0,86,94
2048,4096,4,0.9,0.94,4.5299530029296875e-05,True,1297,0,96,79
2048,4096,4,0.9,0.96,5.8650970458984375e-05,True,1314,0,88,82
2048,4096,4,0.9,0.98,4.0531158447265625e-05,True,1220,0,82,83
2048,4096,8,0.9,0.9,4.029273986816406e-05,True,1751,0,79,88
